3.08402 0 2896
3.16144 2896 4344
3.16144 4344 5792
3.1712 5792 7240
3.24049 7240 8688
3.25443 8688 10136
3.27612 10136 11584
3.2827 11584 13032
3.3237 13032 14480
3.33735 14480 15928
3.36874 15928 17376
3.39636 17376 18824
3.42754 18824 20272
3.42887 20272 21720
3.42956 21720 23168
3.49885 23168 24616
3.50551 24616 26064
3.56761 26064 27512
3.62847 27512 28960
3.64966 28960 30408
3.65085 30408 31856
3.65251 31856 33304
3.6639 33304 34752
3.67791 34752 36200
3.71808 36200 37648
3.73189 37648 39096
3.75402 39096 40544
3.81507 40544 41992
3.82133 41992 43440
3.82698 43440 44888
3.83811 44888 46336
3.84134 46336 47784
3.84202 47784 49232
3.84674 49232 50680
3.84786 50680 52128
3.8564 52128 53576
3.89826 53576 55024
3.93252 55024 56472
4.00134 56472 57920
4.00519 57920 59368
4.04836 59368 60816
4.05958 60816 62264
4.06785 62264 63712
4.07291 63712 65160
4.07537 65160 66608
4.096 66608 68056
4.09698 68056 69504
4.10449 69504 70952
4.1285 70952 72400
4.14627 72400 73848
4.15645 73848 75296
4.16433 75296 76744
4.17497 76744 78192
4.18431 78192 79640
4.31962 79640 78192
4.31962 78192 76744
4.31962 76744 78192
4.42274 78192 76744
4.47918 76744 75296
4.50811 75296 76744
4.51343 76744 78192
4.51396 78192 79640
4.52667 79640 78192
4.52667 78192 79640
4.57411 79640 78192
4.57411 78192 79640
4.58127 79640 78192
4.58127 78192 79640
4.6181 79640 78192
4.6181 78192 79640
4.65364 79640 78192
4.65364 78192 79640
4.65953 79640 78192
4.65953 78192 79640
4.6935 79640 78192
4.6935 78192 79640
4.69857 79640 78192
4.69857 78192 79640
4.72559 79640 78192
4.72559 78192 79640
4.74994 79640 78192
4.74994 78192 79640
4.75045 79640 78192
4.75045 78192 79640
4.77876 79640 78192
4.77876 78192 79640
4.78474 79640 95678
4.80621 95678 92672
4.80621 92672 91224
4.80621 91224 92672
4.82122 92672 91224
4.82698 91224 89776
4.85449 89776 88328
4.89253 88328 86880
4.89253 86880 89776
4.89746 89776 88328
4.91772 88328 86880
4.91772 86880 82585
4.92053 82585 81137
4.92053 81137 82585
4.94519 82585 81137
4.94519 81137 82585
4.94592 82585 81137
4.94592 81137 82585
4.96287 82585 81137
4.96287 81137 82585
4.97046 82585 81137
4.97046 81137 82585
4.97471 82585 82897
4.97484 82897 81449
4.97484 81449 82897
4.99157 82897 84345
4.99194 84345 85793
4.99579 85793 84345
4.99579 84345 85793
4.99636 85793 87241
4.9965 87241 88689
5.01083 88689 90137
5.01474 90137 91585
5.01503 91585 93033
5.01518 93033 94481
5.02848 94481 95228
5.03239 95228 93780
5.03239 93780 95228
5.03263 95228 93780
5.03263 93780 95228
5.04641 95228 93780
5.04641 93780 95228
5.04653 95228 93780
5.04653 93780 95228
5.05662 95228 93780
5.05662 93780 95228
5.06052 95228 93780
5.06052 93780 95228
5.0794 95228 93780
5.0794 93780 95228
5.09548 95228 71027
5.09582 71027 69579
5.09582 69579 71027
5.09607 71027 69579
5.09607 69579 71027
5.09941 71027 69579
5.09941 69579 71027
5.11172 71027 69579
5.11172 69579 71027
5.11805 71027 69579
5.11805 69579 71027
5.14552 71027 69579
5.14552 69579 71027
5.15924 71027 69579
5.15924 69579 71027
5.16548 71027 69579
5.16548 69579 71027
5.18154 71027 69579
5.18154 69579 68131
5.25849 68131 69398
5.26382 69398 70846
5.26842 70846 71789
5.27169 71789 73237
5.27295 73237 74685
5.28186 74685 76133
5.28668 76133 77568
5.56575 77568 76120
5.56575 76120 77568
5.58728 77568 76120
5.58728 76120 77568
5.60651 77568 76120
5.60651 76120 77568
5.62661 77568 76120
5.62661 76120 77568
5.64182 77568 76120
5.64182 76120 77568
5.6663 77568 76120
5.6663 76120 77568
5.68151 77568 76120
5.68151 76120 77568
5.69742 77568 76120
5.69742 76120 77568
5.70316 77568 76120
5.70316 76120 77568
5.7214 77568 76120
5.7214 76120 77568
5.72805 77568 76120
5.72805 76120 77568
5.74056 77568 76120
5.74056 76120 77568
5.78712 77568 79016
5.7919 79016 80464
5.79683 80464 79016
5.79683 79016 80464
5.80633 80464 79016
5.80633 79016 80464
5.81134 80464 79016
5.81134 79016 80464
5.81933 80464 79016
5.81933 79016 80464
5.82122 80464 1448
5.82771 1448 2896
5.82771 2896 5792
5.83254 5792 7240
5.83676 7240 8688
5.84376 8688 10136
5.84627 10136 11584
5.85195 11584 13032
5.85616 13032 14480
5.86015 14480 15928
5.86553 15928 17376
5.87306 17376 18824
5.87837 18824 20272
5.88254 20272 21720
5.88564 21720 23168
5.89165 23168 24616
5.89619 24616 26064
5.90229 26064 27512
5.9063 27512 28960
5.91046 28960 30408
5.91546 30408 31856
5.92324 31856 33304
5.92709 33304 34752
5.9321 34752 36200
5.93671 36200 37648
5.94064 37648 39096
5.94616 39096 40544
5.96041 40544 41992
5.96906 41992 43440
5.97166 43440 44888
5.97768 44888 46336
5.98644 46336 47784
5.99498 47784 49232
6.00669 49232 50680
6.01752 50680 5106
6.01752 5106 5792
6.02207 5792 7240
6.02612 7240 8688
6.03297 8688 10136
6.03613 10136 11584
6.03957 11584 13032
6.04439 13032 14480
6.05005 14480 15928
6.05767 15928 17376
6.06138 17376 18824
6.06849 18824 20272
6.07255 20272 21720
6.07536 21720 23168
6.08805 23168 24616
6.94064 24616 1448
